GOAL_ID,GROUP_NAME,TICKET_NO,STATUS_FLAG,AMOUNT,TXN_STATUS,INSTALLMENT,TRXNS_TYPE,PAYMENT_MODE,RECEIVED_DATE,FTR_NUMBER,BANK_REF_NUMBER,TRXNS_DATE_TIME,TRXNS_DATE,TRXNS_BY,PAYMENT_GATEWAY,RECON_FLAG,COMMENTS
1855320,MSRP010W,25,member,1000,SUCCESS,3,EMI,UPI,2022-11-01,1855320M1667291854361,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
630054,MPG020W,41,member,2000,SUCCESS,10,EMI,UPI,2022-11-01,630054M1667291839355,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
175852,HYG009W,43,member,2000,SUCCESS,16,EMI,UPI,2022-11-01,175852M1667291642588,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1351189,MPG027W,40,member,2000,SUCCESS,5,EMI,UPI,2022-11-01,1351189M1667291595912,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1457182,MSRP001W,65,member,1000,SUCCESS,5,EMI,UPI,2022-11-01,1457182M1667291595473,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1540672,MSRG028W,76,member,2000,SUCCESS,5,EMI,UPI,2022-11-01,1540672M1667291571221,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1827705,MPB007W,12,member,4000,SUCCESS,9,EMI,UPI,2022-11-01,1827705M1667291545603,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1680762,MSRP004W,48,member,1000,SUCCESS,3,EMI,UPI,2022-11-01,1680762M1667291548374,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
17619,HYG003W,68,member,2000,SUCCESS,22,EMI,UPI,2022-11-01,17619M1667291534366,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1282154,MPG027W,32,member,2000,SUCCESS,5,EMI,UPI,2022-11-01,1282154M1667291491846,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1002965,MPG024T,205,member,2000,SUCCESS,8,EMI,UPI,2022-11-01,1002965M1667291446008,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1975032,HYG0013W,92,member,2000,SUCCESS,12,EMI,UPI,2022-11-01,1975032M1667291452141,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1620976,MSRP003W,68,member,1000,SUCCESS,4,EMI,UPI,2022-11-01,1620976M1667291484903,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1789534,MSRP008W,94,member,1000,SUCCESS,3,EMI,UPI,2022-11-01,1789534M1667291469550,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1615285,MSRG029W,26,member,2000,SUCCESS,4,EMI,UPI,2022-11-01,1615285M1667291462133,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
934800,HYG007W,30,member,2000,SUCCESS,18,EMI,UPI,2022-11-01,934800M1667291453749,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
206532,HYG0010W,8,member,2000,SUCCESS,16,EMI,UPI,2022-11-01,206532M1667291441685,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1888716,MSRP011W,9,member,1000,SUCCESS,2,EMI,UPI,2022-11-01,1888716T1667291109021,,2022-11-01,2022-11-01,,SIPLY,no,
987164,MPB008T,19,member,4000,SUCCESS,6,EMI,UPI,2022-11-01,987164M1667290366103,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1838411,MSRB011W,41,member,3872,SUCCESS,3,EMI,UPI,2022-11-01,1838411T1667290125079,,2022-11-01,2022-11-01,,SIPLY,no,
1797655,MSRG030W,34,member,2000,SUCCESS,3,EMI,UPI,2022-11-01,1797655T1667290028865,,2022-11-01,2022-11-01,,SIPLY,no,
50602,IBG008Gb,9,member,675,SUCCESS,25,EMI,UPI,2022-10-29,50602T1667289911327,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50602,IBG008Gb,9,member,1200,SUCCESS,24,EMI,UPI,2022-10-29,50602T1667289911327,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50602,IBG008Gb,9,member,8,SUCCESS,24,Interest on delayed EMI,UPI,2022-10-29,50602T1667289911327,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50602,IBG008Gb,9,member,112,SUCCESS,24,Late payment fee,UPI,2022-10-29,50602T1667289911327,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50602,IBG008Gb,9,member,5,SUCCESS,23,Interest on delayed EMI,UPI,2022-10-29,50602T1667289911327,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
51218,IBG005Db,11,member,4306,SUCCESS,18,EMI,UPI,2022-10-31,51218T1667289827875,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
51218,IBG005Db,11,member,1004,SUCCESS,18,Interest on delayed EMI,UPI,2022-10-31,51218T1667289827875,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
51218,IBG005Db,11,member,112,SUCCESS,18,Late payment fee,UPI,2022-10-31,51218T1667289827875,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
51218,IBG005Db,11,member,4578,SUCCESS,17,EMI,UPI,2022-10-31,51218T1667289827875,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50226,IBG003Db,53,member,6438.09,SUCCESS,17,EMI,UPI,2022-10-31,50226T1667289767084,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50226,IBG003Db,53,member,1537,SUCCESS,17,Interest on delayed EMI,UPI,2022-10-31,50226T1667289767084,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50226,IBG003Db,53,member,1273.91,SUCCESS,16,EMI,UPI,2022-10-31,50226T1667289767084,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50226,IBG003Db,53,member,54,SUCCESS,16,Interest on delayed EMI,UPI,2022-10-31,50226T1667289767084,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50226,IBG003Db,53,member,2,SUCCESS,15,Interest on delayed EMI,UPI,2022-10-31,50226T1667289767084,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
